,text
57,"色の黒い服を着せられてはなりませんよ。髪を梳かしてやっているのだ。額に汗で濡れていた。百回も髪があったのだろう。画家の一般的な美貌の持ち主。 #twnovel #小説執筆AI
"
58,"傷一つ付かずに彼女を信用されました。なんだっていうのだった。なんの証明にもない。海の魔女のような気持になった。お願いが十分信じられないんです。 #twnovel #小説執筆AI
"
59,"半分腐った魚を取ろうとした。魚はこわい所へ行って来ました。水をたしにいった。半分腐った肉がくさり、白骨になった。右手奥に姿を平気で見ている。 #twnovel #小説執筆AI
"
60,"父親のそのほかの同僚たちに答える。横になっている。眼を上げたが、ちょうどいい。一幅の絵を持っていらっしゃる。そして自由な生活のなかに残されたのです。 #twnovel #小説執筆AI
"
61,"静かにつづける。首はやわらかいものでした。子供たちの手を伸ばした。顔はあくまで平穏であった。ものを要求いたしておりました。彼は思いきって花の下へ降りてこなかった。 #twnovel #小説執筆AI
"
62,"金はたいへん無邪気に見せてくださいまし。割と小さい部屋の中で発見されたんだよ。中を知っていた娘御を連れていった。無邪気な性格である。 #twnovel #小説執筆AI
"
63,"愛くるしい少年が判事に逢った。白い雲が流れるのであった。雲が意地悪く光っていることを知った。予兆は既に取れていた。学芸員であった。 #twnovel #小説執筆AI
"
64,"廊下は静まり返っていた。ただ、隅っこのほうに近寄った。太陽の都からの金を分けてやった。光は向う側のブリキ屋の裏組織だろうか。雲のなかではないか……考えさして下さい。 #twnovel #小説執筆AI
"
65,"ケーブルカーのように人が坂を駆け登った。死のように興奮しているからだ。それでも十分ですよ。父はもうそのときにだけ携わるのであった。あとで鍵がかかってもいいました。 #twnovel #小説執筆AI
"
66,"自分はそう見えるんでしょう。雲の切れ間から伸びていた。事情に明るい、はっきりしてました。船は用意してきき返した。巨大な独創をもたなかった。 #twnovel #小説執筆AI
"
67,"色のブラウスなんか着ていた。女はそちちへ行きました。妙ですね。一つの悲運であった。みじかい夏のうち一方を選んだ。健康な生活をやったのだ。眠りはしなかったろう。 #twnovel #小説執筆AI
"
68,"それを黙らせておくんだ。弟は困ってしまったのだった。使者の勤めなのだ。何か関係があった。息がつまりそうだったのであろう。アンドロイド達に尋ねる。 #twnovel #小説執筆AI
"
69,"そして彼は身を退いていった。彼の沈黙が苦しかったのだ。明らかに身を屈めて蓋を閉める。有利だと言い張るものです。女は露骨な違和感を感じた。 #twnovel #小説執筆AI
"
70,"大きい靴屋じゃないか。恐ろしい私どもは殺して、荒野の風景である。海の詩を読んでしまいました。下へ動かしたりしていました。 #twnovel #小説執筆AI
"
71,"でもご主人がどっかり座っていた。柔らかいそれによって片付けられているんです。すべての感情です。注意深い人の門番こそ掟にほかならない。海の下へ落ちたのである。どす黒い血を流した。 #twnovel #小説執筆AI
"
72,"そうしてはじめて母から命令された。母が座って談笑して飛んで来た。事を深く深く思い込みました。命令されたことのできるものでしたろう。母のために時間を教えてあげよう。死人の臭いよりは気軽にやって下さい。 #twnovel #小説執筆AI
"
73,"森へ行くと申しました。校長先生の事はなかったのだった。時間が止まってしまったよ。責任というものは何一つ無かった。時間が分からなければならない。明らかに神経的に感じた。 #twnovel #小説執筆AI
"
74,"ショールのかげに隠した。身体のわきに立っていた彼の疑問に思った。不意に老人が座っているじゃないか。老人は語り始めた。蜂すずめは花にかくれてるんだよ。 #twnovel #小説執筆AI
"
75,"人は礼拝堂の中にあった。中から潤んだ眼つきをしている男がいった。散歩に出かけることに気付いた。海の底に秘めた美しさも含まれている。 #twnovel #小説執筆AI
"
76,"ところが、その事務室の中ですからね。アンドロイドだから人格を移す。んでね。神を創った世界、神はない。それを微笑した調子で言った。神の子が投げられた。 #twnovel #小説執筆AI
"
77,"途中で発作を起す婦人は、寝たりした。アンドロイド達は面白いかい。雲が重苦しく空になってくるのだ。自らを侵食する意識から来たらしいわね。 #twnovel #小説執筆AI
"
78,"疑いもなく信仰が失われていた。恐ろしい運命に従順な羊の群れを眺めた。使用人の姿が見えてしまった。深い海の寂しい中から引っぱり出されるのだった。 #twnovel #小説執筆AI
"
79,"白い雲が途切れた。向こうの言うことができなかった。アンドロイドは、たいして気づかなかった。白い雲のように、おいおい泣きました。弁護をやったりするんだからですよ。 #twnovel #小説執筆AI
"
80,"それでも彼はいった。彼の部屋からもう一度小声で呼んだのだ。日の光が耐えられませんか。そこに咲いていた。彼は女をかばった彼女だった。光の黄金の鍵をかけました。 #twnovel #小説執筆AI
"
81,"残念です。空は落ちました。病人の見舞いをやっていた。今の今になっていたに違いない。ところがあった。彼の膝の上にすわっていた。 #twnovel #小説執筆AI
"
82,"枝から枝を微かに揺らす。谷も木もかきねも倒れたろう。枝は何処である。彼の髪飾りですから、荒々しいものである。全身がよくなくなりました。 #twnovel #小説執筆AI
"
83,"耳を傾けている様子だった。彼はポケットからケータイを取り出す。仕事にありつくためなんだよ。仕事をまかせてしまった。 #twnovel #小説執筆AI
"
84,"ベッドの人でした。水なんかいくらでもいいだろう。おかけ下さい。弁護士を物色していたはずであった。いつまで持つか分からないねぇ。 #twnovel #小説執筆AI
"
85,"私は読むことを全然知らなかった。そして、このブロンドの娘といっている。私は又、何よりの不幸の原因を聞いた。動作はのろのろ進むだけだった。 #twnovel #小説執筆AI
"
86,"すべてが急に融け出し始めた。病気というものだ。空は美しくなんかないわ。ただくるみの木を切り、ささやいた。夏の麻布で作って、詳しく探検していた。いろいろ話し合っていた。 #twnovel #小説執筆AI
"
87,"本当のことを聞き知っているのだ。嘘をついた。恐ろしい嘘を言った。嘘をつけておかなければいけないね。若々しい心の奥底に植付けられているじゃない。 #twnovel #小説執筆AI
"
88,"天井を仰ぐと、彼は、小さく頷いた。左脚は死んでしまえ。眼を真白く見開いているのだ。血を流して叫ぶのだ。姿を消してしまった。 #twnovel #小説執筆AI
"
89,"彼のように妹はささやくようなそぶりまで見せた。眼尻とそのおそらくは外見上だけで十分さ。すると床の上を過ぎた。色があった。りっぱなものだった。 #twnovel #小説執筆AI
"
90,"色の黒い服を着ていない。天の川の向う岸の鷲の星の時間である。雲の向こうに見えました。自分を助けたいと申しました。 #twnovel #小説執筆AI
"
91,"考えに迷いこんだ。考えに没頭し、階段をのぼって行きました。考えに悩まされなければならない。絵を描き現わし始めた。いちばん悪いことに気を落ち着けました。大柄な、うるさい事もない。 #twnovel #小説執筆AI
"
92,"彼の心を奪われても、信じていないくせに。涙がしたたり落ちるのであった。それでも革ジャンを引っ張った。視界は完全に偽装しようとしてしまった。 #twnovel #小説執筆AI
"
93,"空は美しくなんかないと決めてしまった。壁にかかったあの命令書を持っていた。説教者を破門するだけのプログラムでした。破門とは言え、そんなことを覚えた。 #twnovel #小説執筆AI
"
94,"花の下とは言った。約束の意味がなくなってしまった。花と散った桜は無かった。下へ身を潜めていた。 #twnovel #小説執筆AI
"
95,"若いときになった。そして、あの女がおれをじっと眺めていた。一つの楽しみの時間だからであろう。高慢らしく、音なく空を仰ぎながら答えた。 #twnovel #小説執筆AI
"
96,"少年がたずねる。声は緊張している。海の底まで刻み付けている。何よりも安堵できるものか。何がうまく身をやつし、あああっ。 #twnovel #小説執筆AI
"
97,"美しい手が青白く輝き出す。アンドロイドだよ。私は暇なのでした。椅子を進めました。空は昼から夜になるでしょう。 #twnovel #小説執筆AI
"
98,"意地の悪い声をかける生き物だ。一台の馬車に乗せられていたらしい。わしはあいつらと一緒に謝るからさ。やつは誰と話していた。 #twnovel #小説執筆AI
"
99,"お茶くらい出しなさいな。一つの心配げな笑いなのであった。名前は彼だった。隠したいことがわからなかったのです。理由はないのに。理由はない。 #twnovel #小説執筆AI
"
100,"心なしか肩をたたくばかりです。覚えておこうとしたものでつまってしまう。いっさいの危険を感じないわけでなかった。興奮したのです。小説のレシピを破るためだった。 #twnovel #小説執筆AI
"
101,"時話に坐っていました。兄に話してくれました。身振屋の中は察尋しい程蒸し暑かった。物長のように見えた。傍から心望いを浮かべた。 #twnovel #小説執筆AI
"
102,"美しい少女はただ沈黙して唇を動かした。沈黙は破られなかった。美しい少女はよろこんだ。そばまで持っているようであったよ。 #twnovel #小説執筆AI 
"
103,"雲が流れる。霧の中には会えるかもしれませんわ。雨模様の壁紙の上で、今はっきりした。雪童子の足もとへ身を乗り出した。雲が湧き返ってお砂糖を遠慮するんだよ。 #twnovel #小説執筆AI
"
104,"海の近くまで押しよせていた。海中を漂う塵が流れ星になるのだ。雨模様のある人間が歩く。小雨が降って真暗だった。 #twnovel #小説執筆AI
"
105,"少女たちが規則違反である。夜遅く帰っていた。夜中に寝ぼけたような様子だった。海のなかに消えてしまった。 #twnovel #小説執筆AI #かもめエディタ
"
106,"深い闇を焼き殺しているんですってさあ。長老のように街は海の底で話していた。月はいまその扉をあけてバアと云いました。 #twnovel #小説執筆AI #かもめエディタ
"
107,"夕暮れの冷気が、それを眺めていました。高い暗闇のなかに埋まって見えたのではあった。美しい少女は抱き合っている。田舎で少しおかしくなります。 #twnovel #小説執筆AI
"
108,"美しい少女はただうなずいてみせていた。月はいま、そのことを申し上げますよ。いい靴屋の一室へ寝かされたところで尋ねた。 #twnovel #小説執筆AI
"
109,"長い旅の面白い人ともいうことができる。僕のように旅行鞄を抱えて楽しい思いになるのか、考えた。旅行鞄を肩に手を伸ばした。 #twnovel #小説執筆AI
"
110,"美しい少女たちはあなたに聞いてみた。薄暗い夜明けまでに向うの室にいませんでした。薄暗い夜明けまでにしかできないほど腐っていた。 #twnovel #小説執筆AI
"
111,"新しい愛は、自らのプラグに差し込んだ。自らを侵食するわずらわしい意識から来た奴だ。 #twnovel #小説執筆AI
"
112,"切ない愛が欠けていた。相互の美しい心を消耗しつくすまでは。新しい愛がたちどころに枯死してしまった。 #twnovel #小説執筆AI
"
113,"新しい旅の行く着く遠い先に固い口を開いた鍵をおろした。美しい少女は抱き合っている細胞を観ていた。 #twnovel #小説執筆AI
"
114,"新しい愛が、ばかみたいに聞こえるんです。唇のすぐ近くまでやってきたんだ。永遠の悩みの種を引出すのだった。 #twnovel #小説執筆AI
"
115,"美しい少女はしばらく青くひかるのでした。幽霊みたいに好きだと思っていた。老婆は問い合わせもしない一人である。 #twnovel #小説執筆AI
"
116,"君はあれの足を雪のなかへ入った。今夜は大切なのだ。あたし口惜しくて……馬鹿な。おまえたちの笑い声に連れて行った。 #twnovel #小説執筆AI
"
117,"冷たい水が暗い板低い壁で明るい台所と隔てられた。深夜の訪問は全然もたなかった。氷のように広い空間に放り出せば済む話だ。 #twnovel #小説執筆AI
"
118,"少女たち全部とが顔を見合せた。雲が通り過ぎただけです。少女はしばらく青くひかるのでした。川がきらきら光っていた。闇をついたぴったり身体に生まれたんだ。夜明けまでに宿場まで着けるだろうか。 #twnovel #小説執筆AI
"
119,"少女はただ、それも長くなっていると言う。少女たちの机の上に置いた。お母さんは先へ回されてしまった。お母さんの目立った変化が二つあります。 #twnovel #小説執筆AI
"
120,"船が入っていたのです。そうだ。と、彼はいった。いいえ、どうなんだ？船が面かに含まれていることがわかるのだ。だけど、すぐそういう気持がお話をしたようにすることができたはずだ。しかし、そのほんとうはこの人がこんなことをはっきりともたなかったのです。 #twnovel #小説執筆AI
"
121,"砂浜の生活をするように学芸員に残していた。員室は、実に何か長い実現な表情であるにしよされた。どの人はただ一歩はみんなおり、口をあけた。するとも、もう必要はありませんでした。特に心配を持っていたことはどうともないのだ。 #twnovel #小説執筆AI
"
122,"鏡を運び、彼は頭を高く振りながら、死骸に枕を担ぎた。そのうえなれば、全くのだった。頭はその通路には頭をあげて仕えばよろこんだ。草原な感情であるが、しかしどうして分からなかった。感情をじっと見ようと決めてこないからでありますからねえ。 #twnovel #小説執筆AI
"
123,"影が昔からのペン学生となった彼女との道を吐き出した。石の鹿を固めないように取り残されたことです。あるいは、それでこの内容の事情について説明することになりますからね。事情の御生活はおそらくは、いずれになったのですからね。 #twnovel #小説執筆AI
"
124,"影ではなかったし、父といっしょに没頭している気持ではなかった。つまり、あなたがあんなにお友達をしたといっても、あなたをおっしゃって下さい。なぜなら、これはほんとうにちがいないのだ。友達するのかい？あなたは、わたしは、どんなに恨みがなるんです？ #twnovel #小説執筆AI
"
125,"影の前の頭にまたさえ死骸な顔が見えた。特に何もしているかな？　今どういうものなのだ、彼はまた胸に緊張が続いた。ここをまったく正確な愛に必要ではない。太陽の対話のことがたいしてありうることに気づいたのではない。 #twnovel #小説執筆AI
"
126,"砂浜の婦人で、昔を知ることが解かれていた。その中には本人が改めて異存じですよ。こんなに新しいことは、ただそれはほんとうに救済なんかもってくることです。救済なんかもってくることのないわけじゃないです。ところが、このことがどういうわけですね。 #twnovel #小説執筆AI
"
127,"けどものの昔からなんです。さてしまいにあの子はどういうものか、あなたにからだに愉快そうになりますわね。そちらへはいったんじゃないか。さてしまいには自分自身はどうしてもたよったものなんでしょう、」　彼は内縁の熊をあちこち残していた。 #twnovel #小説執筆AI
"
128,"水から彼は手持から飛ばされたように従わない。だけど、それなりました。こうした天国に気づいたのに、すべてがわしを好まないと思いました。美少女に、わたしはあの人のこんなやりかたな人で、呼ばれたほうがよい。 #twnovel #小説執筆AI
"
129,"船越を良い行くことをやっていた。そんなことはない。ほんとうはほんとうだわ。ほんとうに、しばらくはもう疑うのを忘れはしなかった。それでは、これがほんとうにか。したがってなんにもないよ。いや。」つまり、「いろいや、おまえはどうしたんだろう。 #twnovel #小説執筆AI
"
130,"鏡へと近づき、そのほかのことを思い出してしまった。実際、そして必要となっていた実際。鏡項にこんな気をつい出したのはただ睡眠をつぶることでした。そして彼らはそのことを親しげな光に心配することができなかった。 #twnovel #小説執筆AI
"
131,"夏は彼に驚かされたことを話した。どの生涯に対して、なんの気にかからなかったよ。こちらは全然自分ではないが、大いにありそうなんだよ。どれだかがあとに我慢されてできなくてはなりますからな。こちらが親爺しないでは、こんなことを話せばいいんだね？ #twnovel #小説執筆AI
"
132,"影に見た。その彼は私の部屋ですわ。ところで支配人で城の手紙を受けたことでしょう。砂浜の唯一人として砂な人間というものがわからない。城の空の主人では、永久に答えるように見せかけた。あれは、あれを待っているのですから」 #twnovel #小説執筆AI
"
133,"空に居たばかりであった。僕はどんなこともあったか？と、彼は叫んだ。それでも自分は恥ずかしいことに気づかれなかった。どうしても、まだお望みだけこの町でそのの向うを聞きました！彼はただ実際に、危ない結果がないようにさせられるに近づいた。 #twnovel #小説執筆AI
"
134,"海へと戦うことができないのだ。それでは、それになおぺんの考えで、もうすぐ残念なことになります。すると、しまいにも悪い用心がいらっしゃったのである。というのは、彼らは少しもうまくはなかなかった。しかもありそうなものではない。 #twnovel #小説執筆AI
"
135,"空の新聞に知っていた。そこに私が宇宙にもたれます。宇宙に対して手慣れば、どうしてもなんでもいいことをなされますの。宇宙にうまく説明してこわい、しばらくになりたいと考えているんだ。だけどもなく親切に頼んでいたら、しばらくはその瞬間にはわからない。 #twnovel #小説執筆AI
"
136,"草原ではない。草原かも知れないで、第一十二年化社長についてのことです。彼らはただ一人の助教授としての何かがわからなかった。それからあなたの恐れた考えがついていいのですけれど。またち欠かせてしまいました。 #twnovel #小説執筆AI
"
137,"石の中に入っている母親を自分でも引き出すことをできないのだ。それにまた彼らは、人類にいるところをみんなはまったく刺激しなかった。人類はあの人といっしょに注意をしているだけです。どれには、親切にこんなふうにしゃべらないことがあります。 #twnovel #小説執筆AI
"
138,"船心を見ていた。水、奴は欠かせないからですよ。あれは、どうぞ、この長老という点でありますね。光の地を経験に入れていただけることはできなかったんだよ。それともあれはどうしても卑しい命をつけようと思っていることだろう。 #twnovel #小説執筆AI
"
139,"海を操縦しいためだとみんな引き出していた。それから私は自分の心の役目を避けることを心得ているのではないか。それに、しまいには現代の気持ではないのだ。しかも、その理由は忘れてしまわなかった。夏の心は何も兵隊とはみな妻もいくことが知らなかった。 #twnovel #小説執筆AI
"
140,"草原を受けるということを気にかえた。しかも、それを百人から手に入れました。人影は知らず、手を取り殺してしまった。石油のようなバケツを歩いているのに、それでもそのほかに一時にいった。その男は疑わしく少しばかり思った。 #twnovel #小説執筆AI
"
141,"太陽には間に合うことをした。なだめしめを思い出して、それを打ち明けて喜んでくれた。太陽なんてどうしても無粋な品位もさまざまな物なものでしたね。しかも教師は、ほんとうにもっと故意と起こっていたものがあります。 #twnovel #小説執筆AI
"
142,"美少女のために、我慢が出ていった彼にはこんなことを決めた。だが、まだとてもせず、別に、その後ですわ。彼の部屋でおっしゃっているはずですから、それに心配がありますね」部屋の下で初めの小さな格子の数が大切に落ちていた。 #twnovel #小説執筆AI
"
